cuenta_id,ci,nombre,apellido,numero_cuenta,banco_id,saldo_usd
1,7959901141,CARLOS SOFIA,MENDOZA,6813188080447650,12,55462.8362
2,7959901141,CARLOS SOFIA,MENDOZA,2776399865689050,12,226262.9604
3,1129743629,SOFIA JOSE,VARGAS LOPEZ,9024477965665900,7,343466.1419
4,1129743629,SOFIA JOSE,VARGAS LOPEZ,5596097303467330,7,366920.4907
5,2962551652,JUAN LUIS MARIA,RODRIGUEZ GARCIA,209960595365818,14,60349.75
6,2962551652,JUAN LUIS MARIA,RODRIGUEZ GARCIA,763526644229795,14,467732.7284
7,2122590651,SOFIA,GARCIA MENDOZA,9277344602056520,2,189060.7418
8,2122590651,SOFIA,GARCIA MENDOZA,4836967725252550,2,316466.423
9,2869928457,JORGE,RODRIGUEZ,5790132893651860,1,301716.8517
13,1468733396,AQUILES,CASTRO,5136272276760680,4,6439.2724
14,1468733396,AQUILES,CASTRO,1027887220913980,4,469.4852
16,1834324124,ANA,CONDA,8254996963637880,13,283469.464
17,4683559426,ANA,CONDA,8254996963637880,2,167556.6308
19,6147753629,JOSE,VARGAS,1234492381761660,9,495900.6952
20,6147753629,JOSE,VARGAS,5776322684836210,9,799992.2737
21,4865250810,ANA ELENA,FLORES,7806601578083350,5,1800.3441
22,4865250810,ANA ELENA,FLORES,3827180929011360,5,58170.1298
23,6521337201,MARIA,RODRIGUEZ,8660711223122000,8,402982.6753
24,6521337201,MARIA,RODRIGUEZ,9903988572016230,8,169541.5991
25,6204560448,JORGE MARIA,VARGAS VARGAS,2879030831273810,9,146773.1086
26,6204560448,JORGE MARIA,VARGAS VARGAS,7722624704509880,9,408799.3607
27,1958627301,JORGE DIEGO JOSE,MAMANI MENDOZA,6292444054027710,11,482288.7765
28,1958627301,JORGE DIEGO JOSE,MAMANI MENDOZA,7437034605692840,11,79325.0291
29,2223622626,CARLOS,RODRIGUEZ,4382726413558120,11,236870.5777
30,2223622626,CARLOS,RODRIGUEZ,7949352103230700,11,321040.2732
31,2837303688,ELENA SOFIA JUAN,LOPEZ,4288822210725340,4,258118.1119
32,2837303688,ELENA SOFIA JUAN,LOPEZ,7215884206269500,4,329809.3503
33,1155838567,RICARDO,PEREZ,6194324720902840,9,367912.0668
34,1155838567,RICARDO,PEREZ,2951881794969670,9,186574.0397
35,2968426303,RICARDO ANA,CLAROS PEREZ,4759930861432420,11,80317.989
36,2968426303,RICARDO ANA,CLAROS PEREZ,9587313743300810,11,387118.2698
37,4849119815,LUCIA ELENA,MAMANI,107633233628384,4,120063.6999
38,4849119815,LUCIA ELENA,MAMANI,6039334512107320,4,415983.8026
39,1106394542,DIEGO,QUISPE,3925938935434180,7,491383.6017
40,1106394542,DIEGO,QUISPE,6028056097571110,7,101116.1802
41,3679224410,SOFIA,QUISPE,905067418753606,9,356518.84
42,3679224410,SOFIA,QUISPE,9624068038556590,9,1618.2883
43,9662047956,LUCIA CARLOS JUAN,VARGAS LOPEZ,855896563480630,7,19192.6867
44,9662047956,LUCIA CARLOS JUAN,VARGAS LOPEZ,5313207784446820,7,457906.0271
45,16369647,SOFIA,GARCIA,4942743744074580,9,278161.5357
46,16369647,SOFIA,GARCIA,8662328926774640,9,225425.3851
47,9630214461,RICARDO JORGE ANA,PEREZ,3980839489703510,14,126837.2512
48,9630214461,RICARDO JORGE ANA,PEREZ,9901260434369610,14,410476.2046
49,2119004058,JOSE DIEGO,QUISPE,7257465242322670,2,398.899
50,2119004058,JOSE DIEGO,QUISPE,1672302743391200,2,429843.5619
51,1035323215,MARIA,GARCIA QUISPE,5201376598362140,14,303897.3519
52,1035323215,MARIA,GARCIA QUISPE,6162612255703970,14,275362.7796
53,6623854058,DIEGO,VARGAS,9061501680702940,4,271591.1943
54,6623854058,DIEGO,VARGAS,3656241849751850,4,431889.3778
55,4196676412,JORGE ANA CARLOS,MAMANI,8118942668240450,2,232634.1144
56,4196676412,JORGE ANA CARLOS,MAMANI,7525738649130820,2,108193.5225
57,1920668003,CARLOS,CLAROS VARGAS,44858789497002,3,282313.3127
58,1920668003,CARLOS,CLAROS VARGAS,7375001585145260,3,66090.6801
59,3449190865,JUAN LUIS JOSE,MENDOZA,5164609396688350,6,485906.1968
60,3449190865,JUAN LUIS JOSE,MENDOZA,8012232129123680,6,360215.749
61,2569390890,ELENA,RODRIGUEZ,876092499051119,2,370870.5918
62,2569390890,ELENA,RODRIGUEZ,3278140775195210,2,402323.135
63,3857618461,LUCIA ANA SOFIA,CLAROS,4139588905409090,10,299289.7842
64,3857618461,LUCIA ANA SOFIA,CLAROS,9171131709482280,10,414410.4318
65,9809478104,LUIS LUIS,FLORES,6346077374827710,13,93118.3201
66,9809478104,LUIS LUIS,FLORES,2563640917692160,13,228547.7724
67,6457204207,JORGE CARLOS JOSE,CLAROS,5793434616644750,4,408687.4063
68,6457204207,JORGE CARLOS JOSE,CLAROS,2252224849994360,4,241520.7297
69,2529996472,JOSE CARLOS,CLAROS PEREZ,9963810712574610,2,173775.8558
70,2529996472,JOSE CARLOS,CLAROS PEREZ,3796066680386440,2,202225.9771
71,9007279624,CARLOS LUCIA DIEGO,MENDOZA GARCIA,9460895956491940,7,374250.7663
72,9007279624,CARLOS LUCIA DIEGO,MENDOZA GARCIA,3447922300931060,7,298629.4664
73,7310654096,DIEGO LUCIA,QUISPE,2242263451414420,10,412496.0476
74,7310654096,DIEGO LUCIA,QUISPE,5290290360873540,10,285051.9315
75,1845145763,LUCIA,FLORES CLAROS,6583856401099280,4,142984.3689
76,1845145763,LUCIA,FLORES CLAROS,3938479401500190,4,235657.7162
77,7951047959,ANA,GARCIA,1003887321264680,5,487187.6786
78,7951047959,ANA,GARCIA,2436585612686340,5,363739.9002
79,4007952880,MARIA ANA,PEREZ PEREZ,4382704140814250,9,345619.3288
80,4007952880,MARIA ANA,PEREZ PEREZ,6095909863011290,9,204245.1512
81,1545874730,SOFIA CARLOS,RODRIGUEZ MAMANI,8058457510336690,11,180724.562
82,1545874730,SOFIA CARLOS,RODRIGUEZ MAMANI,8138841470996780,11,470815.2721
83,907656801,MARIA MARIA,FLORES,1927659700471520,4,439172.24
84,907656801,MARIA MARIA,FLORES,6878601189761730,4,167923.592
85,4727307869,JORGE JOSE SOFIA,MAMANI PEREZ,8310827264750280,1,342892.4561
86,4727307869,JORGE JOSE SOFIA,MAMANI PEREZ,3389138904585250,1,469976.2
87,2027758723,JUAN ELENA,GARCIA VARGAS,9727894650535620,11,497894.1519
88,2027758723,JUAN ELENA,GARCIA VARGAS,538897152534112,11,36291.4775
89,2882428262,ANA,PEREZ VARGAS,9439268118874810,14,300541.3635
90,2882428262,ANA,PEREZ VARGAS,4192445463598010,14,467362.8072
91,5421986116,CARLOS RICARDO JORGE,VARGAS LOPEZ,4873626287545520,6,5077.0422
92,5421986116,CARLOS RICARDO JORGE,VARGAS LOPEZ,1060394784332910,6,381861.69
93,2709736957,SOFIA ELENA,QUISPE,3171216317967700,10,290127.3698
94,2709736957,SOFIA ELENA,QUISPE,6512557527001350,10,3457.0223
95,6893232857,MARIA ELENA,CLAROS,1232461705594880,11,97653.8877
96,6893232857,MARIA ELENA,CLAROS,3450356131256920,11,154934.1044
97,9755024845,JOSE JORGE,VARGAS,2220450116787580,10,22885.649
98,9755024845,JOSE JORGE,VARGAS,5313682435201340,10,420732.996
99,60185370,JOSE JORGE,LOPEZ FLORES,9839177608294600,12,224046.8847
100,60185370,JOSE JORGE,LOPEZ FLORES,6201729014344800,12,60639.4072
101,498312132,JORGE,RODRIGUEZ,3073836297065900,5,416696.419
102,498312132,JORGE,RODRIGUEZ,5641985887303300,5,207152.3635
103,2127366417,ANA,VARGAS CLAROS,7842047777764450,5,238074.8492
104,2127366417,ANA,VARGAS CLAROS,499016251865349,5,291149.1504
105,9716900504,LUCIA,RODRIGUEZ,4842293623716340,12,465980.561
106,9716900504,LUCIA,RODRIGUEZ,8413024891540540,12,196036.844
107,2313579683,RICARDO JUAN,LOPEZ PEREZ,4303929987960570,2,308285.5741
108,2313579683,RICARDO JUAN,LOPEZ PEREZ,358159786492448,2,320056.2543
109,905312029,JOSE,MARTINEZ,8149849859262610,11,413881.5447
110,905312029,JOSE,MARTINEZ,3426698143625640,11,300799.4871
111,4735380196,JORGE RICARDO MARIA,CLAROS MAMANI,9884108344322760,1,297917.4318
112,4735380196,JORGE RICARDO MARIA,CLAROS MAMANI,3198108041429880,1,463031.9794
113,5503629658,JOSE,QUISPE GARCIA,3202252362625710,1,426546.9841
114,5503629658,JOSE,QUISPE GARCIA,8605118337509620,1,275396.471
115,2200045386,LUCIA JOSE,LOPEZ VARGAS,4891202913687920,4,195565.7858
116,2200045386,LUCIA JOSE,LOPEZ VARGAS,8281503216700990,4,264741.152
117,5119949981,CARLOS,RODRIGUEZ,8143290096102260,2,180523.799
118,5119949981,CARLOS,RODRIGUEZ,7499890953865420,2,125763.9905
119,1001637083,SOFIA CARLOS,FLORES VARGAS,1499173783499510,11,136540.8616
120,1001637083,SOFIA CARLOS,FLORES VARGAS,8602533861901860,11,453834.5768
121,4310493588,LUCIA,VARGAS PEREZ,9321329805461350,13,140480.0796
122,4310493588,LUCIA,VARGAS PEREZ,2978512967764130,13,7378.072
123,3922074514,ANA JOSE ELENA,MENDOZA,6505035901036590,13,246617.85
124,3922074514,ANA JOSE ELENA,MENDOZA,6192977246970340,13,259966.2181
125,3722204638,LUIS JOSE,FLORES,3508252605050320,1,190828.1563
126,3722204638,LUIS JOSE,FLORES,8065665865066910,1,482318.3252
127,6112252609,LUIS RICARDO ELENA,CLAROS,6021737260613410,2,262908.0997
128,6112252609,LUIS RICARDO ELENA,CLAROS,4021305183907970,2,329625.1685
129,1521557972,CARLOS JORGE,VARGAS,9358074572132240,2,34085.8156
130,1521557972,CARLOS JORGE,VARGAS,2278793759101300,2,124108.0772
131,8091810222,JOSE ELENA LUCIA,GARCIA,7456619423000700,1,52760.5712
132,8091810222,JOSE ELENA LUCIA,GARCIA,7781259999910100,1,121964.9062
133,3916986810,LUIS LUIS,MAMANI QUISPE,7448522582715350,8,103928.408
134,3916986810,LUIS LUIS,MAMANI QUISPE,9520498177336630,8,160063.798
135,2665177230,LUIS LUIS SOFIA,VARGAS,8208792793010700,4,376348.5425
136,2665177230,LUIS LUIS SOFIA,VARGAS,6905981780482300,4,404684.9082
137,5584386814,RICARDO,RODRIGUEZ,2614301891734220,6,253884.3868
138,5584386814,RICARDO,RODRIGUEZ,5217500756677750,6,302135.7969
139,666400390,JUAN CARLOS,MAMANI MAMANI,4981759343322580,5,3762.0308
140,666400390,JUAN CARLOS,MAMANI MAMANI,9413767618735360,5,144597.9786
141,1761736211,LUCIA,VARGAS,2626923690275270,1,271263.1347
142,1761736211,LUCIA,VARGAS,6748745786571920,1,139514.844
143,2767530627,JORGE ELENA JUAN,RODRIGUEZ QUISPE,9409746587784260,2,434816.646
144,2767530627,JORGE ELENA JUAN,RODRIGUEZ QUISPE,6222061940134830,2,374264.5771
145,6746108974,RICARDO MARIA RICARDO,QUISPE LOPEZ,2243153258711840,2,1901.5111
146,6746108974,RICARDO MARIA RICARDO,QUISPE LOPEZ,2000121589279640,2,314071.3191
147,7850963361,RICARDO SOFIA,CLAROS,1227342852989120,10,4048.6809
148,7850963361,RICARDO SOFIA,CLAROS,9163499739247150,10,492743.2032
149,8268460937,CARLOS ELENA DIEGO,CLAROS,9069107385039750,9,364685.7131
150,8268460937,CARLOS ELENA DIEGO,CLAROS,4554146362433160,9,276808.4035
151,7912048899,JOSE LUIS DIEGO,FLORES,3443656763719650,12,76.0801
152,7912048899,JOSE LUIS DIEGO,FLORES,7789710306552480,12,259615.0293
153,6940771369,ELENA ANA,FLORES VARGAS,3130238528006150,11,108062.4128
154,6940771369,ELENA ANA,FLORES VARGAS,6236146184626900,11,436057.8394
155,8552475435,MARIA ANA,QUISPE LOPEZ,2468663896155370,14,3108.6808
156,8552475435,MARIA ANA,QUISPE LOPEZ,1241170064804430,14,140410.4054
157,8261191541,LUIS LUCIA,GARCIA PEREZ,4502092578138110,7,287154.6267
158,8261191541,LUIS LUCIA,GARCIA PEREZ,8464492391455980,7,3103.5499
159,8676731631,ANA,GARCIA PEREZ,3711143533069360,3,420209.2146
160,8676731631,ANA,GARCIA PEREZ,6562354313570340,3,47706.0145
161,532316733,ANA,CHOQUE,1215291633800630,6,26680.2797
162,532316733,ANA,CHOQUE,8628215819164540,6,182151.5201
163,9402559558,JUAN JORGE,RODRIGUEZ FLORES,6471281267113770,7,94529.4877
164,9402559558,JUAN JORGE,RODRIGUEZ FLORES,4104405030777910,7,76104.3848
165,4329735054,JUAN LUIS,GARCIA,6516835342666570,4,187.8796
166,4329735054,JUAN LUIS,GARCIA,1924512198984400,4,309057.598
167,4349500788,LUCIA,CLAROS MAMANI,8355800480192260,2,356715.3717
168,4349500788,LUCIA,CLAROS MAMANI,6479617587294630,2,432981.4837
169,4495076305,LUIS ANA,MENDOZA,7640212902465190,13,124596.823
170,4495076305,LUIS ANA,MENDOZA,5184631169565020,13,167599.8923
171,6077645706,MARIA DIEGO RICARDO,FLORES MENDOZA,2117787354488710,3,304815.4721
172,6077645706,MARIA DIEGO RICARDO,FLORES MENDOZA,1224917195420050,3,276620.2488
173,9718925224,DIEGO JORGE LUCIA,MAMANI,2537172682672990,8,159872.4592
174,9718925224,DIEGO JORGE LUCIA,MAMANI,5044534132158480,8,80517.6065
175,8404946598,JUAN,RODRIGUEZ MAMANI,3100961721908260,8,424326.4025
176,8404946598,JUAN,RODRIGUEZ MAMANI,4098063137905310,8,452083.0398
177,7526128466,ANA ANA CARLOS,QUISPE,6895510193848240,14,314597.2804
178,7526128466,ANA ANA CARLOS,QUISPE,5707574843506180,14,452595.0897
179,802363449,SOFIA,PEREZ,1732145469533190,7,23226.5904
180,802363449,SOFIA,PEREZ,7481876095544040,7,196079.2443
181,2281033907,LUCIA JOSE,LOPEZ PEREZ,8268073983818940,13,384991.3129
