Nro,Identificacion,Nombres,Apellidos,NroCuenta,IdBanco,Saldo
20617,5977236805,Sofia Elena,Perez Rodriguez,6490024209780150,5,3499999.213
29782,1875185075,Jorge Elena Luis,Garcia,6393993668354060,8,2499999.212
43935,8573801079,Sofia Elena,Vargas,7106929996325160,3,1499996.642
80962,6755917603,Luis Luis,Vargas,873452932746589,1,999996.5298
66482,887255367,Diego,Flores,488977819527106,9,899995.6487
20,6147753629,Jose,Vargas,5776322684836210,9,799992.2737
54105,6606543093,Ricardo Jose Diego,Quispe,2220673171319380,4,699989.8122
105524,7491921367,Elena,Rodriguez,5632953198200450,8,599989.1647
76806,675665688,Sofia,Lopez,2695388013361890,1,399988.9652
44568,5351140005,Jorge,Perez Flores,9272592266041990,12,499986.8355
13547,8105179772,Carlos,Claros Garcia,1248124085058780,4,499986.06
86818,3522945946,Maria Juan,Rodriguez Claros,8865528303718990,9,490000.8676
74880,938971107,Carlos Ricardo,Flores Choque,7595276083456580,13,499975.9789
112857,9596315417,Ricardo Carlos Diego,Claros Perez,4881284925890520,12,499965.2008
110166,4032881239,Jorge,Quispe,1702611666473400,4,499963.1264
67645,2720387237,Luis Jorge Luis,Vargas Vargas,4365304832709650,10,499959.3008
19611,2359571730,Juan Luis,Rodriguez Lopez,4337472080288920,12,499959.0677
82731,8195208107,Luis Lucia,Vargas Mendoza,5811157865560080,11,499951.8466
39943,3049814227,Juan Jose,Rodriguez,4765992956892110,8,499951.3823
108995,2282858258,Jose Ricardo Maria,Perez,7718524500532400,1,209950.8836
101381,9291818400,Juan Carlos Juan,Perez Quispe,4704560049747250,14,499947.4514
19927,3048150971,Diego Maria Ricardo,Quispe,1037389882868410,10,499944.271
25968,7585517285,Lucia Elena,Flores Flores,3486177336198970,4,499943.8676
57579,5097048587,Maria Elena,Mendoza Mendoza,916313871835833,7,499939.3954
117102,2571469559,Lucia,Mamani Lopez,8374255199437360,7,499924.87
113320,5584347908,Carlos Maria Juan,Rodriguez Rodriguez,6328670079417520,14,499908.0411
68365,5907976242,Jose Juan,Claros,1600611221007980,13,499902.45
113778,6629161870,Jose Jose Ana,Quispe Flores,9167606995159000,3,499898.0888
74514,2615087637,Diego,Rodriguez Quispe,6380936487023640,4,499893.7351
14982,7152620529,Luis Juan,Rodriguez Flores,1825226799501740,9,499872.7183
76744,1880349439,Ana Sofia Juan,Perez,3346156267406320,14,499870.8357
56156,192861123,Lucia,Choque,4024137700208390,9,499868.5692
16777,2338052698,Ana,Rodriguez,2295626342048930,4,499868.0092
84938,69099681,Juan Ana Ricardo,Vargas Martinez,1530212465761440,6,209864.2984
64333,424399936,Jose Ana,Rodriguez,6152047183658820,10,499864.2548
39312,9505825506,Elena Ricardo Ricardo,Claros,6483574789118620,1,499850.9758
64025,7091907311,Jose,Claros,3572118395048340,8,499847.6302
116733,7563015730,Lucia Luis,Vargas Perez,8145948320519730,10,499847.2828
27335,8811159848,Lucia,Mamani,7502810077424250,9,499836.1886
62516,3007829996,Lucia,Garcia,458590182068212,8,499834.3911
16269,9131079327,Sofia Lucia,Claros,2130055448001640,9,499831.5102
70477,8920089836,Sofia Lucia,Garcia Rodriguez,5928795630496350,4,499829.0351
72573,6586457747,Maria Juan Juan,Garcia Flores,4372563554358170,4,499828.9124
